updated,positive,negative
2020-02-29 00:00:00,1,3
2020-03-03 17:40:00,3,29
2020-03-04 17:25:00,3,45
2020-03-06 09:30:00,3,64
2020-03-07 10:00:00,7,77
2020-03-08 10:00:00,14,100
2020-03-09 10:00:00,14,165
2020-03-10 10:00:00,15,213
2020-03-11 10:00:00,21,286
2020-03-12 10:00:00,30,317
2020-03-13 10:00:00,32,337
2020-03-14 11:00:00,36,420
2020-03-15 12:00:00,39,579
2020-03-16 10:51:00,51,689
2020-03-17 09:00:00,68,968
2020-03-18 08:00:00,75,1118
2020-03-19 08:00:00,88,1329
2020-03-20 08:00:00,114,2003
2020-03-21 08:00:00,137,2338
2020-03-22 08:00:00,161,2864
2020-03-23 08:00:00,191,3649
2020-03-24 08:00:00,209,4350
2020-03-25 09:00:00,266,5476
2020-03-26 08:00:00,317,6953
2020-03-27 09:30:00,414,8510
2020-03-28 09:30:00,479,9693
